rowType,code,name,parentCode,unit,priceA,priceB,directoryCategory,navigation,branch,operation,patientOrToothCondition,quantityRule,exclusion,priceEvidenceLevel,clinicalEvidenceLevel,hospitalConfirmation,clinicalStatus,sourcePage
"add","013306020200011","口腔骨突修整费—复杂骨突（加收）","013306020200000","牙","124","124","外科","其他口腔外科","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020210001","牙槽突骨折复位固定费—儿童（加收）","013306020210000","牙","99","99","外科","其他口腔外科","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020220001","黏膜切开引流费（口内）—儿童（加收）","013306020220000","次","8","8","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020230001","黏膜切开引流费（颌面部）—儿童（加收）","013306020230000","次","52","52","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020240001","下牙槽神经探查解剖费—儿童（加收）","013306020240000","次","188","188","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020240011","下牙槽神经探查解剖费—牙种植体探查刮切探下牙槽神经移位（加收）","013306020240000","次","625","625","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020250001","口腔上颌窦瘘修补费—儿童（加收）","013306020250000","单侧","165","165","外科","其他口腔外科","","","{}","按单侧及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020260001","口内游离软组织移植费—儿童（加收）","013306020260000","牙位","68","68","外科","其他口腔外科","","","{}","按牙位及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020270001","根面平整费—儿童（加收）","013306020270000","牙","7","7","外科","牙周基础治疗","","","{}","按牙及实际实施数量","013105010240000","A","C","是","仅目录；临床规则未审，不可开单","17"
"add","013306020280001","牙周翻瓣费—儿童（加收）","013306020280000","牙","36","36","外科","牙周手术","","","{}","按牙及实际实施数量","013306020270000","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020280011","牙周翻瓣费—复杂牙周翻瓣（加收）","013306020280000","牙","60","60","外科","牙周手术","","","{}","按牙及实际实施数量","013306020270000","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020290001","牙龈成形费—儿童（加收）","013306020290000","牙","33","33","外科","牙周手术","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"extend","013306020290100","牙龈成形费—一龈瓣切除费（扩展）","013306020290000","牙","110","110","外科","牙周手术","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020300001","游离龈移植费—儿童（加收）","013306020300000","牙","150","150","外科","牙周手术","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"extend","013306020300100","游离龈移植费—上皮下结缔组织移植费（扩展）","013306020300000","牙","500","500","外科","牙周手术","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020310001","引导性牙周组织再生费—儿童（加收）","013306020310000","牙","66","66","外科","牙周手术","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020320001","牙周纤维环状切断费—儿童（加收）","013306020320000","牙","20","20","外科","牙周手术 / 正畸治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020330001","皮质骨切开费—儿童（加收）","013306020330000","牙","126","126","外科","其他口腔外科 / 正畸治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020330011","皮质骨切开费—舌侧（加收）","013306020330000","牙","420","420","外科","其他口腔外科 / 正畸治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","18"
"add","013306020340001","唾液腺导管取石费—儿童（加收）","013306020340000","腺体·单侧","32","32","外科","黏膜与唾液腺治疗","","","{}","按腺体·单侧及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","19"
"add","013306020350001","唾液腺导管治疗费—儿童（加收）","013306020350000","腺体·单侧","15","15","外科","黏膜与唾液腺治疗","","","{}","按腺体·单侧及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","19"
